Label Area Mean StdDev Min Max Perim. IntDen Median %Area RawIntDen
15-12a_SD_M3_03.tif 101.8 117.7 29.47 52 178 35.63 11980 122 0 45100 
15-12a_SD_M3_03.tif 71.21 107.2 25.46 45 179 29.96 7631 112 0 28720 
15-12a_SD_M3_03.tif 6465 133.6 23.83 42 255 346 863600 135 0 3250000 
15-12a_SD_M3_03.tif 83.43 120.2 20.83 62 179 33.2 10030 123 0 37750 
15-12a_SD_M3_03.tif 87.15 120.3 21.06 75 170 34.82 10490 121 0 39470 
15-12a_SD_M3_03.tif 122.2 118.9 26.23 65 205 39.67 14530 119 0 54680 
15-12a_SD_M3_03.tif 103.6 109 27.48 42 199 36.44 11300 111 0 42530 
15-12a_SD_M3_04.tif 17550 128.9 27.08 33 255 596.3 2262000 128 0 8514000 
15-12a_SD_M3_04.tif 96.72 78.48 21.82 47 154 35.63 7591 70 0 28570 
15-12a_SD_M3_04.tif 45.7 105.4 31.87 54 171 24.29 4819 100 0 18140 
15-12a_SD_M3_04.tif 40.12 87.75 27.27 51 210 22.67 3521 79 0 13250 
15-12a_SD_M3_04.tif 91.93 92.7 32.86 38 187 34.82 8522 82 0 32070 
15-12a_SD_M3_04.tif 13510 126.6 26.1 33 255 526.3 1710000 127 0 6437000 
15-12a_SD_M3_04.tif 126.5 94.46 32.71 40 194 40.48 11950 92 0 44960 
15-12a_SD_M3_04.tif 126.5 94.51 30.76 40 149 40.48 11950 97 0 44990 
15-12a_SD_M3_04.tif 56.86 79.19 22.89 41 147 26.72 4503 73 0 16950 
15-12a_SD_M3_04.tif 59.78 76.61 23.89 40 144 27.53 4580 71 0 17240 
15-12a_SD_M3_04.tif 76.52 80.19 29.76 33 145 30.77 6136 83 0 23100 
15-12a_SD_M3_04.tif 44.11 83.17 22.41 43 138 23.48 3668 83 0 13810 
15-12a_SD_M3_04.tif 82.63 83.63 24.78 46 164 32.39 6910 82 0 26010 
15-12a_SD_M3_04.tif 15060 134.7 28.14 31 255 593.9 2028000 135 0 7634000 
15-12a_SD_M3_04.tif 52.87 119.4 32.99 51 196 25.91 6312 115 0 23760 
15-12a_SD_M3_04.tif 42.51 77.74 17.79 53 145 23.48 3305 74 0 12440 
15-12a_SD_M3_04.tif 46.76 94.07 19.45 62 153 24.29 4399 88 0 16560 
15-12a_SD_M3_04.tif 80.77 119.9 21.73 49 178 35.63 9687 121 0 36460 
15-12a_SD_M3_04.tif 66.96 102.4 28.99 56 171 30.77 6859 93 0 25820 
15-12a_SD_M3_04.tif 97.25 108.9 40.32 48 255 34.82 10590 103 0 39850 
15-12a_SD_M3_04.tif 65.89 100.7 27.1 45 166 29.15 6634 106 0 24970 
15-12a_SD_M3_04.tif 51.01 126.1 20.45 64 159 25.91 6434 129 0 24220 
15-12a_SD_M3_04.tif 57.66 114.8 22.91 67 166 27.53 6622 111 0 24920 
15-12a_SD_M3_04.tif 28.43 135.2 25.25 69 205 19.43 3844 137 0 14470 
15-12a_SD_M3_04.tif 36.14 119.5 31.31 68 196 21.05 4319 112 0 16250 
15-12a_SD_M3_04.tif 37.2 139.6 26.32 77 198 21.86 5191 140 0 19540 
