Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M3_03.tif,9.99E+01,9.08E+01,2.81E+01,3.10E+01,1.56E+02,3.73E+01,9.07E+03,8.90E+01,0.00E+00,3.41E+04
15-12a_SD_M3_03.tif,3.91E+01,9.90E+01,2.77E+01,3.60E+01,1.81E+02,2.27E+01,3.87E+03,1.01E+02,0.00E+00,1.46E+04
15-12a_SD_M3_03.tif,6.27E+01,9.92E+01,3.20E+01,4.60E+01,1.82E+02,2.83E+01,6.22E+03,8.80E+01,0.00E+00,2.34E+04
15-12a_SD_M3_03.tif,1.10E+02,9.41E+01,2.97E+01,3.50E+01,1.71E+02,3.73E+01,1.03E+04,8.60E+01,0.00E+00,3.89E+04
15-12a_SD_M3_03.tif,6.78E+01,1.13E+02,4.29E+01,3.50E+01,2.55E+02,2.92E+01,7.66E+03,1.05E+02,0.00E+00,2.88E+04
15-12a_SD_M3_03.tif,9.33E+03,1.41E+02,2.79E+01,3.20E+01,2.55E+02,4.24E+02,1.32E+06,1.40E+02,0.00E+00,4.95E+06
15-12a_SD_M3_03.tif,1.21E+02,1.14E+02,3.35E+01,5.30E+01,2.39E+02,4.05E+01,1.39E+04,1.11E+02,0.00E+00,5.22E+04
15-12a_SD_M3_03.tif,6.80E+01,1.14E+02,2.21E+01,5.50E+01,1.63E+02,3.16E+01,7.77E+03,1.18E+02,0.00E+00,2.93E+04
15-12a_SD_M3_03.tif,7.97E+01,1.07E+02,3.48E+01,4.80E+01,1.94E+02,3.16E+01,8.53E+03,1.02E+02,0.00E+00,3.21E+04
15-12a_SD_M3_03.tif,7.28E+01,1.16E+02,3.00E+01,6.20E+01,1.82E+02,3.00E+01,8.45E+03,1.16E+02,0.00E+00,3.18E+04
15-12a_SD_M3_03.tif,9.19E+01,1.23E+02,2.41E+01,6.40E+01,1.67E+02,3.48E+01,1.13E+04,1.25E+02,0.00E+00,4.24E+04
15-12a_SD_M3_03.tif,7.12E+01,1.06E+02,2.15E+01,5.60E+01,1.66E+02,3.00E+01,7.51E+03,1.05E+02,0.00E+00,2.83E+04
15-12a_SD_M3_03.tif,6.32E+01,1.22E+02,2.74E+01,5.40E+01,1.88E+02,2.83E+01,7.71E+03,1.25E+02,0.00E+00,2.90E+04
15-12a_SD_M3_03.tif,9.46E+01,1.01E+02,2.66E+01,5.00E+01,1.75E+02,3.56E+01,9.51E+03,9.70E+01,0.00E+00,3.58E+04
15-12a_SD_M3_03.tif,1.43E+04,1.36E+02,2.85E+01,3.30E+01,2.55E+02,5.15E+02,1.94E+06,1.35E+02,0.00E+00,7.29E+06
15-12a_SD_M3_03.tif,4.41E+01,1.15E+02,5.20E+01,3.80E+01,2.55E+02,2.35E+01,5.09E+03,1.15E+02,0.00E+00,1.92E+04
15-12a_SD_M3_03.tif,4.36E+01,9.19E+01,3.14E+01,3.90E+01,1.92E+02,2.35E+01,4.00E+03,8.70E+01,0.00E+00,1.51E+04
15-12a_SD_M3_03.tif,4.94E+01,1.16E+02,2.62E+01,5.60E+01,1.72E+02,2.51E+01,5.73E+03,1.11E+02,0.00E+00,2.16E+04
